99nyt8	8	0	a	99nyt0 99nyt1 99nyt2 99nyt3 99nyt4 99nyt5 99nyt6 99nyt7 99nyt8 99nyt9 99nyt10 99nyt11 99nyt12 99nyt13 99nyt14 99nyt15 99nyt16 99nyt17 99nyt18 99nyt19 99nyt20 99nyt21 99nyt22 99nyt23 99nyt24 99nyt25 99nyt26 99nyt27 99nyt28 99nyt29 99nyt30 99nyt31
54hpo6	6	0	a	54hpo0 54hpo1 54hpo2 54hpo3 54hpo4 54hpo5 54hpo6 54hpo7 54hpo8 54hpo9 54hpo10 54hpo11 54hpo12 54hpo13 54hpo14 54hpo15 54hpo16 54hpo17 54hpo18
94fox14	14	0	a	94fox0 94fox1 94fox2 94fox3 94fox4 94fox5 94fox6 94fox7 94fox8 94fox9 94fox10 94fox11 94fox12 94fox13 94fox14 94fox15 94fox16 94fox17 94fox18 94fox19 94fox20 94fox21 94fox22 94fox23 94fox24 94fox25 94fox26 94fox27 94fox28 94fox29 94fox30 94fox31 94fox32
61fox31	31	1	a	61fox0 61fox1 61fox2 61fox3 61fox4 61fox5 61fox6 61fox7 61fox8 61fox9 61fox10 61fox11 61fox12 61fox13 61fox14 61fox15 61fox16 61fox17 61fox18 61fox19 61fox20 61fox21 61fox22 61fox23 61fox24 61fox25 61fox26 61fox27 61fox28 61fox29 61fox30 61fox31 61fox32 61fox33 61fox34 61fox35
99nyt20	20	1	a	99nyt0 99nyt1 99nyt2 99nyt3 99nyt4 99nyt5 99nyt6 99nyt7 99nyt8 99nyt9 99nyt10 99nyt11 99nyt12 99nyt13 99nyt14 99nyt15 99nyt16 99nyt17 99nyt18 99nyt19 99nyt20 99nyt21 99nyt22 99nyt23 99nyt24 99nyt25 99nyt26 99nyt27 99nyt28 99nyt29 99nyt30 99nyt31
2hpo18	18	0	a	2hpo0 2hpo1 2hpo2 2hpo3 2hpo4 2hpo5 2hpo6 2hpo7 2hpo8 2hpo9 2hpo10 2hpo11 2hpo12 2hpo13 2hpo14 2hpo15 2hpo16 2hpo17 2hpo18 2hpo19 2hpo20 2hpo21 2hpo22 2hpo23 2hpo24 2hpo25 2hpo26 2hpo27 2hpo28 2hpo29 2hpo30 2hpo31 2hpo32 2hpo33 2hpo34 2hpo35
13fox9	9	0	a	13fox0 13fox1 13fox2 13fox3 13fox4 13fox5 13fox6 13fox7 13fox8 13fox9 13fox10 13fox11 13fox12 13fox13 13fox14 13fox15 13fox16 13fox17
64nyt4	4	0	a	64nyt0 64nyt1 64nyt2 64nyt3 64nyt4 64nyt5 64nyt6 64nyt7 64nyt8 64nyt9 64nyt10 64nyt11 64nyt12 64nyt13 64nyt14 64nyt15 64nyt16 64nyt17 64nyt18 64nyt19 64nyt20 64nyt21 64nyt22 64nyt23 64nyt24 64nyt25 64nyt26 64nyt27 64nyt28 64nyt29 64nyt30 64nyt31 64nyt32 64nyt33 64nyt34
10nyt18	18	0	a	10nyt0 10nyt1 10nyt2 10nyt3 10nyt4 10nyt5 10nyt6 10nyt7 10nyt8 10nyt9 10nyt10 10nyt11 10nyt12 10nyt13 10nyt14 10nyt15 10nyt16 10nyt17 10nyt18
13nyt14	14	1	a	13nyt0 13nyt1 13nyt2 13nyt3 13nyt4 13nyt5 13nyt6 13nyt7 13nyt8 13nyt9 13nyt10 13nyt11 13nyt12 13nyt13 13nyt14 13nyt15 13nyt16 13nyt17 13nyt18 13nyt19 13nyt20 13nyt21 13nyt22 13nyt23 13nyt24
29nyt21	21	1	a	29nyt0 29nyt1 29nyt2 29nyt3 29nyt4 29nyt5 29nyt6 29nyt7 29nyt8 29nyt9 29nyt10 29nyt11 29nyt12 29nyt13 29nyt14 29nyt15 29nyt16 29nyt17 29nyt18 29nyt19 29nyt20 29nyt21 29nyt22 29nyt23 29nyt24 29nyt25 29nyt26 29nyt27 29nyt28
55nyt15	15	0	a	55nyt0 55nyt1 55nyt2 55nyt3 55nyt4 55nyt5 55nyt6 55nyt7 55nyt8 55nyt9 55nyt10 55nyt11 55nyt12 55nyt13 55nyt14 55nyt15 55nyt16
80hpo3	3	0	a	80hpo0 80hpo1 80hpo2 80hpo3 80hpo4 80hpo5 80hpo6 80hpo7 80hpo8 80hpo9 80hpo10 80hpo11 80hpo12 80hpo13 80hpo14 80hpo15 80hpo16 80hpo17 80hpo18 80hpo19 80hpo20 80hpo21 80hpo22 80hpo23 80hpo24 80hpo25 80hpo26 80hpo27 80hpo28 80hpo29 80hpo30 80hpo31 80hpo32 80hpo33 80hpo34
31fox13	13	0	a	31fox0 31fox1 31fox2 31fox3 31fox4 31fox5 31fox6 31fox7 31fox8 31fox9 31fox10 31fox11 31fox12 31fox13 31fox14 31fox15 31fox16 31fox17 31fox18 31fox19
56hpo12	12	0	a	56hpo0 56hpo1 56hpo2 56hpo3 56hpo4 56hpo5 56hpo6 56hpo7 56hpo8 56hpo9 56hpo10 56hpo11 56hpo12 56hpo13 56hpo14 56hpo15 56hpo16 56hpo17 56hpo18
35nyt24	24	1	a	35nyt0 35nyt1 35nyt2 35nyt3 35nyt4 35nyt5 35nyt6 35nyt7 35nyt8 35nyt9 35nyt10 35nyt11 35nyt12 35nyt13 35nyt14 35nyt15 35nyt16 35nyt17 35nyt18 35nyt19 35nyt20 35nyt21 35nyt22 35nyt23 35nyt24 35nyt25 35nyt26 35nyt27 35nyt28 35nyt29 35nyt30
