0fox0	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	Paul Ryan went on offense Tuesday in response to criticism over his Medicare plan, using an interview with Fox News coupled with a new TV ad to claim President Obama’s health care plan treats the treasured entitlement like a “piggy bank,” while the “Romney-Ryan” plan preserves it.	1	0
0fox1	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	Ryan, in his first one-on-one interview since being named Saturday as Mitt Romney’s running mate, told Fox News on Tuesday he thinks Medicare can be a winning issue for their campaign.	0	1
0fox2	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	"We're the ones who are offering a plan to save Medicare, to protect Medicare, to strengthen Medicare," Ryan said.	0	2
0fox3	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	"We're the ones who are not raiding Medicare to pay for ObamaCare.	0	3
0fox4	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	… We're the ones continuing the guarantee of Medicare for people in or near retirement."	0	4
0fox5	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	He added: “President Obama is actually damaging Medicare for current seniors.	1	5
0fox6	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	It's irrefutable and that's why I think this is a debate we want to have, and that's the debate we're going to win.”	0	6
0fox7	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	The comments signal Ryan and Romney are prepared to dig in and fight back, as Democrats lob charges that Ryan stands for “ending Medicare as we know it.”	0	7
0fox8	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	The Obama campaign used that line Monday in a Web video timed for Romney’s arrival in Florida, with its large senior population.	0	8
0fox9	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	The video pointed to Ryan’s budget proposals, which include significant changes to Medicare.	0	9
0fox10	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	The Romney campaign retorted with an ad of its own Tuesday.	0	10
