0fox0	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	1	0
0fox1	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	0	1
0fox2	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	0	2
0fox3	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	0	3
0fox4	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	0	4
0fox5	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	1	5
0fox6	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	0	6
0fox7	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	0	7
0fox8	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	0	8
0fox9	0fox0 0fox1 0fox2 0fox3 0fox4 0fox5 0fox6 0fox7 0fox8 0fox9 0fox10 0fox11 0fox12 0fox13 0fox14 0fox15 0fox16 0fox17 0fox18 0fox19 0fox20 0fox21 0fox22 0fox23 0fox24 0fox25 0fox26 0fox27 0fox28 0fox29 0fox30 0fox31 0fox32 0fox33 0fox34 0fox35 0fox36 0fox37 0fox38 0fox39 0fox40 0fox41 0fox42 0fox43 0fox44 0fox45 0fox46 0fox47 0fox48 0fox49	0	9
